Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
,,SOCIOL 34,LIVINGS G S,9,10,9,,8,,,,,,8,44
,,SOCIOL 34 Total,,9,10,9,,8,,,,,,8,44
,SOCIOL Total,,,527,269,132,53,89,,,3,3,,168,1244
,WGS,WGS    10,MANOFF R J,27,7,4,,2,,,,,,4,44
,,,WESTERBAND Y,119,18,1,2,1,,2,,,,6,149
,,WGS    10 Total,,146,25,5,2,3,,2,,,,10,193
,,WGS    20,SHARIF R A,12,12,2,5,2,,,,,,6,39
,,WGS    20 Total,,12,12,2,5,2,,,,,,6,39
,,WGS    30,WESTERBAND Y,31,6,,,,,,,,,2,39
,,WGS    30 Total,,31,6,,,,,,,,,2,39
,,WGS    80,KLEIN M C,6,3,2,2,1,,,,,,9,23
,,WGS    80 Total,,6,3,2,2,1,,,,,,9,23
,WGS Total,,,195,46,9,9,6,,2,,,,27,294
Philosophy/Soci Total,,,,2932,1305,723,251,638,,23,17,59,,888,6836
Photo ‐ Fashion,FASHN,FASHN   1,ARMSTRONG R W,33,4,2,4,9,,,,,,11,63
,,,IVAS L,38,5,5,,7,,1,,,,5,61
,,FASHN   1 Total,,71,9,7,4,16,,1,,,,16,124
,,FASHN   2,ARMSTRONG R W,16,5,1,,4,,,,,,4,30
,,,LAKE R G,7,5,6,,2,,,,,,4,24
,,,REINER H G,6,1,2,1,3,,,,,,6,19
,,FASHN   2 Total,,29,11,9,1,9,,,,,,14,73
,,FASHN   3,ALLEN A,14,8,2,,1,,,,,,5,30
,,,KHACHMANYAN S,3,2,2,2,3,,,,,,6,18
,,,LEWIS K,2,4,7,3,4,,,,,,4,24
,,,RAIN B L,8,3,,,9,,,,,,3,23
,,FASHN   3 Total,,27,17,11,5,17,,,,,,18,95
,,FASHN   5,KOLKO S R,6,6,7,2,3,,,,,,7,31
,,,LOUIS L N,9,7,3,,1,,,1,,,4,25
,,FASHN   5 Total,,15,13,10,2,4,,,1,,,11,56
,,FASHN   6A,ARDELL J B,1,8,1,1,4,,,,,,3,18
,,,KHACHMANYAN S,3,4,1,,1,,,,,,6,15
,,,RAIN B L,4,7,2,,3,,,,,,7,23
,,FASHN   6A Total,,8,19,4,1,8,,,,,,16,56
,,FASHN   6B Total,,4,5,1,3,2,,,,,,1,16
,,FASHN   7,LAKE R G,11,8,2,,,,1,,,,3,25
,,FASHN   7 Total,,11,8,2,,,,1,,,,3,25
,,FASHN   8,REINER H G,7,10,4,,6,,,,1,,2,30
,,FASHN   8 Total,,7,10,4,,6,,,,1,,2,30
,,FASHN   9A,ARMSTRONG J I,12,8,,,2,,,,,,3,25
,,FASHN   9A Total,,12,8,,,2,,,,,,3,25
,,FASHN   9B,ARMSTRONG J I,8,3,2,,1,,,,,,2,16
,,FASHN   9B Total,,8,3,2,,1,,,,,,2,16
,,FASHN  10,ALLEN A,18,1,,1,,,,,,,3,23
,,FASHN  10 Total,,18,1,,1,,,,,,,3,23
,,FASHN  12,LOUIS L N,22,15,1,,,,2,,,,,40
,,FASHN  12 Total,,22,15,1,,,,2,,,,,40
,,FASHN  13,COOPER S A,9,6,1,1,1,,,,,,5,23
,,FASHN  13 Total,,9,6,1,1,1,,,,,,5,23
,,FASHN  17,ARDELL J B,13,3,2,,,,,,,,1,19
,,FASHN  17 Total,,13,3,2,,,,,,,,1,19
,,FASHN  18,ARMSTRONG R W,20,4,3,1,1,,,,,,,29
,,FASHN  18 Total,,20,4,3,1,1,,,,,,,29
,,FASHN  19,KOLKO S R,9,5,3,1,2,,,,,,4,24
,,FASHN  19 Total,,9,5,3,1,2,,,,,,4,24
,,FASHN  20,IVAS L,33,7,,,6,,1,,,,5,52
,,FASHN  20 Total,,33,7,,,6,,1,,,,5,52
,,FASHN  21,ARMSTRONG R W,9,1,1,,1,,,,,,2,14
,,FASHN  21 Total,,9,1,1,,1,,,,,,2,14
,,FASHN  88A,IVAS L,2,,,,,,,,,,1,3
,,FASHN  88A Total,,2,,,,,,,,,,1,3
,,FASHN  88C,IVAS L,2,,,,,,,,,,,2
,,FASHN  88C Total,,2,,,,,,,,,,,2
,,FASHN  90A,IVAS L,,,,,,,,,2,,,2
,,FASHN  90A Total,,,,,,,,,,2,,,2
,,FASHN  90C,IVAS L,,,,,,,,,3,,,3
,,FASHN  90C Total,,,,,,,,,,3,,,3
,PHOTO,PHOTO   1,FIER B,1,5,3,,11,,,,,,5,25
,,,GREGORY C M,5,27,3,1,9,,,1,,,6,52
,,,GURJIAN K,10,1,2,1,3,,,,,,5,22
,,,MANGUS E P,60,22,9,1,17,,,,,,7,116
,,,MCDONALD S D,7,7,3,,2,,1,,,,4,24
,,,MYERS A D,39,7,3,,7,,,,2,,8,66
,,,NELSON H,6,6,1,,6,,,,1,,6,26
,,,SLOWINSKI R,11,7,5,1,2,,,,,,,26
,,,THAWLEY J,6,12,5,,1,,,1,1,,9,35
,,PHOTO   1 Total,,145,94,34,4,58,,1,2,4,,50,392
,,PHOTO   2,BRIGGS T H,35,6,3,,,,,,,,,44
,,,FIER B,2,5,1,,4,,,1,,,7,20
,,,MOULTON S A,8,7,3,1,,,,,1,,6,26
,,,NELSON H,8,6,2,1,1,,,,,,2,20
,,,STEIL R J,15,,,,,,,,,,,15
,,,VALESELLA M D,6,6,1,1,3,,,,,,5,22
,,PHOTO   2 Total,,74,30,10,3,8,,,1,1,,20,147
,,PHOTO   5,CALZATTI N,7,4,3,,4,,,,,,6,24
,,,MOHR C D,7,3,2,,4,,,,,,4,20
,,,PATUGAN R Y,4,4,5,,3,,,,,,2,18
,,,WITHERS J J,6,4,1,2,6,,,,,,3,22
,,PHOTO   5 Total,,24,15,11,2,17,,,,,,15,84
,,PHOTO  30,ANDERSON DA,14,2,5,,3,,1,,,,1,26
,,,MOHR C D,1,11,3,,2,,,,1,,4,22
,,PHOTO  30 Total,,15,13,8,,5,,1,,1,,5,48
,,PHOTO  32,SANSERI J D,6,13,6,2,2,,,,,,1,30
,,PHOTO  32 Total,,6,13,6,2,2,,,,,,1,30
,,PHOTO  33,MOHR C D,9,7,6,1,3,,,,1,,4,31
,,PHOTO  33 Total,,9,7,6,1,3,,,,1,,4,31
,,PHOTO  37,MOULTON S A,5,11,4,,,,,,,,2,22
,,PHOTO  37 Total,,5,11,4,,,,,,,,2,22
,,PHOTO  39,CALZATTI N,7,9,2,,2,,,,,,4,24
,,,WITHERS J J,3,5,6,1,2,,,1,,,5,23
,,PHOTO  40,WITHERS J J,3,3,3,1,4,,1,,,,2,17
,,PHOTO  40 Total,,3,3,3,1,4,,1,,,,2,17
,,PHOTO  42,WITHERS J J,3,7,5,,2,,,,,,5,22
,,PHOTO  42 Total,,3,7,5,,2,,,,,,5,22
,,PHOTO  43,NEX A J,10,8,,,,,,,,,,18
,,PHOTO  43 Total,,10,8,,,,,,,,,,18
,,PHOTO  50,MCDONALD S D,4,3,3,,6,,,3,,,4,23
,,PHOTO  50 Total,,4,3,3,,6,,,3,,,4,23
,,PHOTO  60,MOHR C D,4,2,6,2,3,,,,,,6,23
,,PHOTO  60 Total,,4,2,6,2,3,,,,,,6,23
,,PHOTO  88A,SANSERI J D,2,,,,,,,,,,,2
,,PHOTO  88A Total,,2,,,,,,,,,,,2
,,PHOTO  88B,SANSERI J D,1,,,,,,,,,,,1
,,PHOTO  88B Total,,1,,,,,,,,,,,1
,,PHOTO  90B,WITHERS J J,,,,,,,,,,,1,1
,,PHOTO  90B Total,,,,,,,,,,,,1,1
,,PHOTO  90C,WITHERS J J,,,,,,,,,,,1,1
,,PHOTO  90C Total,,,,,,,,,,,,1,1
,PHOTO Total,,,315,220,104,16,112,,3,7,7,,125,909
Photo ‐ Fashion Total,,,,644,365,165,36,188,,8,8,13,,232,1659
Physical Science,CHEM,CHEM    9,LIU C,39,9,1,,1,,,,5,,1,56
,,,WALKER WAUGH M V,14,6,2,1,2,,,5,23,,4,57
,,,WONG W W,10,13,12,3,4,,1,2,5,,6,56
,,CHEM    9 Total,,63,28,15,4,7,,1,7,33,,11,169
,,CHEM   10,ABBANI M A,4,4,10,10,7,,,,,,19,54
,,,BALAKIN A G,7,4,16,2,,,,,,,25,54
,,,BARTLETT D D,5,10,5,3,7,,,,,,15,45
,,,CHUNG G G,7,11,16,,3,,4,,3,,7,51
,,,CORDEIRO R C,31,8,6,2,2,,,,5,,2,56
,,,DHAR G,12,5,9,3,5,,1,,,,11,46
,,,GIFFORD M E,14,11,12,4,1,,,,2,,9,53
,,,KO H,5,7,10,3,10,,1,,,,12,48
,,,LAVALLEE R J,,6,5,6,16,,,,,,45,78
,,,NGUYEN TH H,7,11,7,5,10,,,,,,18,58
,,,STRATHEARN M D,4,6,6,4,4,,,,,,30,54
,,,TAYLOR S M,13,14,7,,8,,,,,,13,55
,,,WALKER WAUGH M V,4,7,9,3,6,,,,2,,26,57
,,CHEM   10 Total,,126,113,123,46,83,,6,,14,,242,753
,,CHEM   11,HSIEH J M,4,3,6,,,,,,,,15,28
,,,NAULI S,7,11,19,3,5,,,,,,35,80
,,,PAPAZYAN A,18,15,9,4,4,,,,,,8,58
,,,SCHMIDT E,6,9,8,,8,,,,,,23,54
,,,SCHOLEFIELD M R,17,11,13,7,7,,,,,,31,86
,,,TOUMARI A,10,16,12,4,2,,2,,,,12,58
,,CHEM   11 Total,,62,65,67,18,26,,2,,,,124,364
,,CHEM   12,ANDERSON JAMEY L,10,5,9,1,2,,,,,,4,31
,,,GALLOGLY E B,17,17,15,6,3,,,,,,36,94
,,,MURPHY J E,16,24,11,11,10,,,,,,17,89
,,CHEM   12 Total,,43,46,35,18,15,,,,,,57,214
,,CHEM   19,DONG T A,18,17,22,6,5,,,,,,20,88
,,,SCHWYTER D H,11,9,8,9,3,,,,,,15,55
,,CHEM   19 Total,,29,26,30,15,8,,,,,,35,143
,,CHEM   21,BAUTISTA M R,7,12,15,4,7,,,,,,9,54
,,,PECORELLI T A,6,12,5,2,3,,,,,,3,31
,,CHEM   21 Total,,13,24,20,6,10,,,,,,12,85
,,CHEM   22,FEREDE R,10,4,4,1,,,,,,,1,20
,,,KLINE M L,8,7,5,,1,,,,,,5,26
,,CHEM   22 Total,,18,11,9,1,1,,,,,,6,46
,,CHEM   24,FEREDE R,11,2,1,,,,,,,,1,15
,,,KLINE M L,16,24,5,,,,,,,,7,52
,,CHEM   24 Total,,27,26,6,,,,,,,,8,67
,,CHEM   31,HSIEH J M,4,4,2,,2,,,,,,8,20
,,CHEM   31 Total,,4,4,2,,2,,,,,,8,20
,,CHEM   88A,ANDERSON JAMEY L,2,,,,,,,,,,,2
,,CHEM   88A Total,,2,,,,,,,,,,,2
,,CHEM   88B,ANDERSON JAMEY L,4,,,,,,,,,,,4
,CHEM Total,,,391,343,307,108,152,,9,7,47,,503,1867
,ENGR,ENGR    1,DANG T T,7,1,4,,5,,1,,1,,7,26
,,ENGR    1 Total,,7,1,4,,5,,1,,1,,7,26
,,ENGR   11,INAMDAR N K,3,,1,,,,,,,,4,8
,,ENGR   11 Total,,3,,1,,,,,,,,4,8
,,ENGR   12,MANOOKIAN N,12,4,6,2,4,,,,,,6,34
,,ENGR   12 Total,,12,4,6,2,4,,,,,,6,34
,,ENGR   16,INAMDAR N K,3,1,,,2,,,,,,6,12
,,ENGR   16 Total,,3,1,,,2,,,,,,6,12
,,ENGR   21,DANG T T,5,3,3,1,2,,1,,1,,3,19
,,ENGR   21 Total,,5,3,3,1,2,,1,,1,,3,19
,,ENGR   22,DANG T T,13,,,,,,,,,,4,17
,,ENGR   22 Total,,13,,,,,,,,,,4,17
,,ENGR   88B,DANG T T,2,,,,,,,,,,,2
,,ENGR   88B Total,,2,,,,,,,,,,,2
,ENGR Total,,,45,9,14,3,13,,2,,2,,30,118
,PHYSCS,PHYSCS  6,PAIK S T,13,9,8,2,1,,,1,3,,8,45
,,,SAID A W,3,7,2,,,,,1,4,,7,24
,,PHYSCS  6 Total,,16,16,10,2,1,,,2,7,,15,69
,,PHYSCS  7,PAIK S T,13,9,3,,1,,,,,,3,29
,,PHYSCS  7 Total,,13,9,3,,1,,,,,,3,29
,,PHYSCS  8,HENDERSON J M,10,3,3,,7,,,,1,,17,41
,,PHYSCS  8 Total,,10,3,3,,7,,,,1,,17,41
,,PHYSCS  9,KOCHARIAN A,11,12,5,2,1,,,,,,5,36
,,PHYSCS  9 Total,,11,12,5,2,1,,,,,,5,36
,,PHYSCS 12,KAMAGA C N,4,6,5,1,3,,,,,,5,24
,,,MURPHY T J,9,8,4,,10,,,1,,,9,41
,,PHYSCS 12 Total,,13,14,9,1,13,,,1,,,14,65
,,PHYSCS 14,DO M H,6,3,2,,,,,1,15,,1,28
,,,KAMAGA C N,5,6,1,2,5,,1,,5,,4,29
,,,SAID A W,4,4,6,,1,,,,2,,6,23
,,PHYSCS 14 Total,,15,13,9,2,6,,1,1,22,,11,80
,,PHYSCS 21,DANG T T,7,9,8,1,1,,1,,,,4,31
,,,FARIVAR D,8,7,2,,4,,,,2,,6,29
,,,MENACHEKANIAN E,6,2,9,,6,,,1,,,10,34
,,,ROJAS R R,3,3,4,1,3,,,,,,13,27
,,,STROHMAIER K D,10,10,4,2,,,,,,,6,32
,,PHYSCS 21 Total,,40,39,30,4,19,,1,2,2,,45,182
,,PHYSCS 22,ARABI M,6,12,10,5,,,,,,,4,37
,,,CHEUNG KW H,9,6,7,2,,,,,,,13,37
,,,MENACHEKANIAN E,7,10,7,2,3,,,,,,5,34
,,PHYSCS 22 Total,,22,28,24,9,3,,,,,,22,108
,,PHYSCS 23,CARSON J,6,9,9,,1,,,,,,1,26
,,,FARIDIAN F,13,13,1,1,1,,,,,,4,33
,,,MAJLESSI A,5,7,7,4,1,,,,,,4,28
,,PHYSCS 23 Total,,24,29,17,5,3,,,,,,9,87
,,PHYSCS 24,MORRIS J J,3,2,3,2,2,,,,,,11,23
,,PHYSCS 24 Total,,3,2,3,2,2,,,,,,11,23
,,PHYSCS 88B,ANDERSON JAMEY L,1,,,,,,,,,,,1
,,PHYSCS 88B Total,,1,,,,,,,,,,,1
,PHYSCS Total,,,168,165,113,27,56,,2,6,32,,152,721
,SCI,SCI    10,COLLINS L E,10,1,1,,,,,,,,2,14
,,,HAWK R,10,,,,,,,,,,2,12
,,SCI    10 Total,,20,1,1,,,,,,,,4,26
,SCI Total,,,20,1,1,,,,,,,,4,26
Physical Science Total,,,,624,518,435,138,221,,13,13,81,,689,2732
Psychology,PSYCH,PSYCH   1,ANDERSON ST M,26,42,23,5,20,,,,,,16,132
,,,CHAMBERS C,19,26,24,10,28,,1,,,2,11,121
,,,CHIN D,16,16,25,8,13,,1,,,,9,88
,,,CUE E N,23,37,16,8,16,,,,,,26,126
,,,DAVIS‐KING D T,29,19,13,10,13,,,,,,30,114
,,,DE LOACH C D,27,24,12,9,8,,1,,,,12,93
,,,DE VILLERS L C,4,1,5,1,2,,,,,,9,22
,,,FARWELL L A,28,23,18,5,3,,,,1,,23,101
,,,GUILD L A,12,19,13,7,11,,1,1,,,17,81
,,,HALD L A,90,29,24,6,6,,,,1,,9,165
,,,SCHWARTZ A F,12,24,29,6,4,,1,,,,22,98
,,,SHIRINYAN D,8,11,8,4,9,,,,,,8,48
,,,SMITH‐CLARK C T,28,12,3,1,5,,,,1,,28,78
,,PSYCH   1 Total,,327,288,220,83,143,,5,1,3,2,226,1298
,,PSYCH   2,OLSON GENE C,13,11,28,11,9,,,1,1,,38,112
,,,RUSSELL R L,9,18,15,10,12,,,1,1,,18,84
,,,SAGE R,4,1,7,3,6,,,,,,16,37
,,,SHIRINYAN D,37,19,21,17,39,,,1,1,,28,163
,,PSYCH   2 Total,,63,49,71,41,66,,,3,3,,100,396
,,PSYCH   3,CHIN D,64,9,2,,4,,1,,,,4,84
,,PSYCH   3 Total,,64,9,2,,4,,1,,,,4,84
,,PSYCH   5,DE LOACH C D,21,12,5,,2,,,,,,3,43
,,PSYCH   5 Total,,21,12,5,,2,,,,,,3,43
,,PSYCH   6,GUILD L A,20,12,4,,,,,,,,8,44
,,PSYCH   6 Total,,20,12,4,,,,,,,,8,44
,,PSYCH   7,HALD L A,42,22,8,,,,4,,,,8,84
,,,JANSSEN D P,6,12,2,,,,,,,,,20
,,,SMITH‐CLARK C T,13,13,5,2,,,,,1,,6,40
,,PSYCH   7 Total,,61,47,15,2,,,4,,1,,14,144
,,PSYCH   8,DE LOACH C D,7,6,,,5,,1,,,,9,28
,,PSYCH   8 Total,,7,6,,,5,,1,,,,9,28
,,PSYCH  11,CUE E N,19,11,10,3,7,,,,,,7,57
,,,GRACE Y H,40,8,8,3,2,,,,,,3,64
,,,HUFF G F,31,8,4,,,,,,,,2,45
,,,JOACHIM S L,26,10,4,1,6,,,,,,5,52
,,,MATHESON C C,11,10,8,3,10,,,,,,12,54
,,,MILLER CA L,21,7,3,2,6,,,,,,2,41
,,,SCHWARTZ A F,10,12,7,3,4,,,,,,6,42
,,PSYCH  11 Total,,158,66,44,15,35,,,,,,37,355
,,PSYCH  13,FARWELL L A,22,20,18,1,8,,,1,,,19,89
,,PSYCH  13 Total,,22,20,18,1,8,,,1,,,19,89
,,PSYCH  14,O'LEARY B A,21,15,11,8,5,,,,,,10,70
,,PSYCH  14 Total,,21,15,11,8,5,,,,,,10,70
,,,DRUKER S L,20,21,9,5,3,,,,1,,6,65
,,PSYCH  19 Total,,84,59,18,5,7,,,,1,,17,191
,,PSYCH  25,ANDERSON ST M,27,24,12,3,6,,,,,,6,78
,,,DE VILLERS L C,3,9,7,2,1,,,,,,5,27
,,PSYCH  25 Total,,30,33,19,5,7,,,,,,11,105
,,PSYCH  40,SCHWARTZ A F,14,4,3,1,2,,,,,,12,36
,,PSYCH  40 Total,,14,4,3,1,2,,,,,,12,36
,PSYCH Total,,,892,620,430,161,284,,11,5,8,2,470,2883
Psychology Total,,,,892,620,430,161,284,,11,5,8,2,470,2883
Theatre Arts,TH ART,TH ART  2,ADAIR‐LYNCH T A,32,2,1,1,1,,,,,,3,40
,,,ANDERSON C B,15,4,3,1,5,,,,,,1,29
,,TH ART  2 Total,,47,6,4,2,6,,,,,,4,69
,,TH ART  5,ADAIR‐LYNCH T A,46,5,3,5,4,,,1,1,,4,69
,,,HARROP A M,20,7,,,,,,,,,2,29
,,TH ART  5 Total,,66,12,3,5,4,,,1,1,,6,98
,,TH ART 10A,ROBBINS C R,18,3,3,2,,,,,,,3,29
,,TH ART 10A Total,,18,3,3,2,,,,,,,3,29
,,TH ART 13,ROBBINS C R,14,3,2,,,,,,1,,5,25
,,TH ART 13 Total,,14,3,2,,,,,,1,,5,25
,,TH ART 15,SAWOSKI P,15,,,,,,,,,,6,21
,,TH ART 15 Total,,15,,,,,,,,,,6,21
,,TH ART 16,SAWOSKI P,16,1,,,,,,,,,4,21
,,TH ART 16 Total,,16,1,,,,,,,,,4,21
,,TH ART 18A,ANZELC L L,8,,,,,,,,,,2,10
,,TH ART 18A Total,,8,,,,,,,,,,2,10
,,TH ART 18B,ANZELC L L,12,,,,,,,,,,1,13
,,TH ART 18B Total,,12,,,,,,,,,,1,13
,,TH ART 18C,ANZELC L L,8,1,,,,,,,,,,9
,,TH ART 18C Total,,8,1,,,,,,,,,,9
,,TH ART 20,ALLEN L A,13,7,3,1,,,,,,,1,25
,,TH ART 20 Total,,13,7,3,1,,,,,,,1,25
,,TH ART 21,ANZELC L L,7,1,,,1,,,,,,,9
,,TH ART 21 Total,,7,1,,,1,,,,,,,9
,,TH ART 22 Total,,8,3,3,,1,,,,,,2,17
,,TH ART 23,ALLEN L A,4,2,1,1,,,,,1,,2,11
,,TH ART 23 Total,,4,2,1,1,,,,,1,,2,11
,,TH ART 25,FLOYD J M,5,1,2,,,,,,,,3,11
,,TH ART 25 Total,,5,1,2,,,,,,,,3,11
,,TH ART 26,HLUDZIK E A,4,2,,1,4,,,,,,1,12
,,TH ART 26 Total,,4,2,,1,4,,,,,,1,12
,,TH ART 28A,ADAIR‐LYNCH T A,28,,,2,,,,,,,,30
,,TH ART 28A Total,,28,,,2,,,,,,,,30
,,TH ART 31,ALLEN L A,7,3,2,1,,,,,,,,13
,,TH ART 31 Total,,7,3,2,1,,,,,,,,13
,,TH ART 38A,SAWOSKI P,13,,,,,,,,,,4,17
,,TH ART 38A Total,,13,,,,,,,,,,4,17
,,TH ART 41,ADAIR‐LYNCH T A,57,5,1,2,2,,,,1,,7,75
,,,ESFANDYARI S,6,1,,,,,,,,,5,12
,,,HARROP A M,13,4,1,,,,,,,,4,22
,,,SCHWARTZ D N,7,1,,,5,,,,1,,4,18
,,TH ART 41 Total,,83,11,2,2,7,,,,2,,20,127
,,TH ART 42,HARROP A M,25,2,,,,,,,,,3,30
,,,SAWOSKI P,13,4,2,1,,,,,,,7,27
,,TH ART 42 Total,,38,6,2,1,,,,,,,10,57
,,TH ART 45,MARTIN A F,11,,,,,,,,,,,11
,,TH ART 45 Total,,11,,,,,,,,,,,11
,,TH ART 46,MATTSSON M F,8,1,5,,3,,,,,,6,23
,,TH ART 46 Total,,8,1,5,,3,,,,,,6,23
,,TH ART 50,ADAIR‐LYNCH T A,36,,,,,,,,,,,36
,,TH ART 50 Total,,36,,,,,,,,,,,36
,,TH ART 51,ADAIR‐LYNCH T A,5,,,,,,,,,,,5
,,,HARROP A M,10,,,,,,,,,,1,11
,,,SAWOSKI P,23,,,,,,,,,,1,24
,,TH ART 51 Total,,38,,,,,,,,,,2,40
,,TH ART 52,HARROP A M,18,,,,,,,,,,,18
,,TH ART 52 Total,,18,,,,,,,,,,,18
,,TH ART 55 Total,,29,,,,,,,,,,1,30
,,TH ART 88A,SAWOSKI P,5,,,,,,,,,,,5
,,TH ART 88A Total,,5,,,,,,,,,,,5
,,TH ART 88B,SAWOSKI P,2,,,,,,,,,,,2
,,TH ART 88B Total,,2,,,,,,,,,,,2
,TH ART Total,,,561,63,32,18,26,,,1,5,,83,789
Theatre Arts Total,,,,561,63,32,18,26,,,1,5,,83,789
