"","","","","","","","","","","","","",""
"",,684,348,174,38,212,,7,1,9,1,314,1788
CHEM    9,LIU C,41,6,3,,,,,,10,,1,61
"",WALKER WAUGH M V,7,9,5,2,4,,,11,13,,8,59
"",WONG W W,11,9,8,5,6,,2,,2,,9,52
CHEM    9 Total,,59,24,16,7,10,,2,11,25,,18,172
CHEM   10,ABBANI M A,6,7,9,1,2,,,,,,26,51
"",BARTLETT D D,6,10,6,1,3,,,,,,18,44
"",CHUNG G G,6,22,19,2,,,1,,,,7,57
"",CORDEIRO R C,36,11,10,,2,,,,,,2,61
"",DHAR G,10,12,11,5,3,,,,1,,9,51
"",EBRAHIMI H,10,20,6,1,3,,,,,,15,55
"",FEREDE R/GIFFORD M E,9,4,7,1,,,,,,,6,27
"",GIFFORD M E,6,4,8,5,,,1,,,,4,28
"","JIMENEZ M
A/PECORELLI T A",5,8,18,5,5,,2,,,,14,57
"",KO H,5,6,10,7,6,,,,,,13,47
"",MEJIA LEIVA C N,15,10,11,3,6,,1,,,,11,57
"",NGUYEN TH H,12,9,11,4,7,,,,,,9,52
"",SCHMIDT E,7,3,3,,2,,,,,,38,53
"",STRATHEARN M D,4,6,8,3,1,,,,,,28,50
"",TAYLOR S M,14,15,10,2,8,,,,1,,10,60
"",WALKER WAUGH M V,9,6,11,4,8,,1,,,,14,53
CHEM   10 Total,,160,153,158,44,56,,6,,2,,224,803
CHEM   11,"ANDERSON JAMEY
L/FEREDE R",9,9,7,,1,,,,,,2,28
"",GALLOGLY E B,26,19,9,4,5,,1,,,,47,111
"",NAULI S/PAPAZYAN A,10,6,5,1,1,,,,,,5,28
"",PAPAZYAN A,9,7,1,2,,,,,,,6,25
"",SCHOLEFIELD M R,16,22,15,3,6,,1,,,,31,94
"",TOUMARI A,3,3,8,2,2,,,,,,,18
CHEM   11 Total,,88,80,62,19,29,,2,,,,109,389
CHEM   12,BAUTISTA M R,6,9,12,4,1,,,,,,18,50
"",MURPHY J E,14,16,15,5,5,,,,,,26,81
"",NAULI S,8,16,21,5,4,,,,,,25,79
CHEM   12 Total,,28,41,48,14,10,,,,,,69,210
CHEM   19,DONG T A,12,16,17,7,5,,,,1,,28,86
"",SCHWYTER D H,10,6,9,2,4,,,,,,24,55
CHEM   19 Total,,22,22,26,9,9,,,,1,,52,141
CHEM   21,KLINE M L,18,11,13,4,,,,,,,8,54
"",PECORELLI T A,8,13,6,3,2,,,,,,10,42
CHEM   21 Total,,26,24,19,7,2,,,,,,18,96
CHEM   22,TOIVONEN J E,12,17,10,3,2,,,,,,7,51
CHEM   22 Total,,12,17,10,3,2,,,,,,7,51
CHEM   24,FEREDE R,15,7,1,,,,,,,,2,25
CHEM   24 Total,,15,7,1,,,,,,,,2,25
CHEM   88A,ANDERSON JAMEY L,2,,,,,,,,,,,2
CHEM   88A Total,,2,,,,,,,,,,,2
CHEM   88B,ANDERSON JAMEY L,3,,,,,,1,,,,1,5
CHEM   88B Total,,3,,,,,,1,,,,1,5
ENGR    1,DANG T T,7,4,1,1,7,,,,,,4,24
ENGR    1 Total,,7,4,1,1,7,,,,,,4,24
ENGR   11,INAMDAR N K,12,,,,1,,,,,,1,14
ENGR   11 Total,,12,,,,1,,,,,,1,14
ENGR   12,MANOOKIAN N,8,4,4,1,6,,,,,,4,27
ENGR   12 Total,,8,4,4,1,6,,,,,,4,27
ENGR   21,DANG T T,8,2,1,,1,,,,,3,1,16
ENGR   21 Total,,8,2,1,,1,,,,,3,1,16
ENGR   22,DANG T T,7,,,,,,3,,,,,10
ENGR   88B,DANG T T,1,,,,,,,,,,,1
ENGR   88B Total,,1,,,,,,,,,,,1
PHYSCS  6,PAIK S T,12,16,11,,2,,,,,,13,54
"",SAID A W,3,5,4,1,,,,,,,6,19
PHYSCS  6 Total,,15,21,15,1,2,,,,,,19,73
PHYSCS  7,PAIK S T,6,7,3,1,,,1,,,,4,22
PHYSCS  7 Total,,6,7,3,1,,,1,,,,4,22
PHYSCS  8,CHEUNG KW H,4,1,7,4,1,,,1,,,7,25
"",KOCHARIAN A,5,7,3,1,1,,,,,,6,23
PHYSCS  8 Total,,9,8,10,5,2,,,1,,,13,48
PHYSCS 12,KAMAGA C N,6,5,4,2,4,,,,,,3,24
"",MURPHY T J,7,3,8,1,3,,,,,,14,36
"",SAID A W,3,9,4,,4,,,,,,3,23
PHYSCS 12 Total,,16,17,16,3,11,,,,,,20,83
PHYSCS 14,DO M H,9,1,,,1,,,,18,,,29
"",HENDERSON J M,13,5,,,7,,,,1,,13,39
"",KAMAGA C N,8,4,,1,4,,,,,,4,21
PHYSCS 14 Total,,30,10,,1,12,,,,19,,17,89
PHYSCS 21,DANG T T,7,7,9,3,1,,1,,,,2,30
"",FARIDIAN F,4,8,3,3,1,,,,,,7,26
"",FARIVAR D,10,3,4,4,3,,,,,,7,31
"",MENACHEKANIAN E,5,4,5,4,7,,,,,,8,33
"",ROJAS R R,6,3,4,2,2,,2,,,,5,24
"",STROHMAIER K D,6,5,4,3,3,,,,,,6,27
PHYSCS 21 Total,,38,30,29,19,17,,3,,,,35,171
PHYSCS 22,ARABI M,7,11,6,,2,,,,,,3,29
"",LEV N R,9,5,5,,3,,,,,,6,28
"",MENACHEKANIAN E,5,3,7,1,4,,,,,,11,31
"",MORRIS J J,4,3,4,1,1,,,,,,13,26
PHYSCS 22 Total,,25,22,22,2,10,,,,,,33,114
PHYSCS 23,CARSON J,,,,,,,,,,26,2,28
"",FARIDIAN F,10,10,2,2,1,,,,,,1,26
"",MAJLESSI A,7,12,2,1,,,,,,,4,26
"",,614,515,445,140,188,,18,12,47,29,658,2666
ENVRN  40,SCHWARTZ A F,11,8,1,,1,,,,,,4,25
ENVRN  40 Total,,11,8,1,,1,,,,,,4,25
PSYCH   1,ANDERSON ST M,21,37,25,6,36,,1,1,,,13,140
"",CHAMBERS C,,,,,,,,,,110,17,127
"",CHAN M,13,9,7,2,3,,,,,,6,40
"",CHIN D,18,29,20,7,13,,1,1,,,8,97
"",CHOPP R M,7,12,8,5,8,,,,,,6,46
"",CUE E N,36,28,13,6,15,,,,1,,35,134
"",DAVIS-KING D T,25,26,25,10,12,,1,,,,34,133
"",DE LOACH C D,24,29,16,7,10,,,1,,,11,98
"",DE VILLERS L C,3,5,10,1,9,,,,,,12,40
"",FARWELL L A,55,28,45,4,9,,,,,,45,186
"",GRAHAM M D,11,21,7,,4,,,,,,7,50
"",GUILD L A,21,21,12,12,13,,,,1,,20,100
"",HALD L A,56,13,8,1,1,,,,2,,4,85
"",LAURENT M G,6,15,19,13,14,,,,,,20,87
"",LOEB T B,10,12,10,5,6,,,,,,5,48
"",O'LEARY B A,4,9,8,5,4,,,,,,13,43
"",SAGE R,2,2,1,3,9,,,,,,24,41
"",SCHWARTZ A F,17,6,1,2,,,,,,,2,28
"",SMITH-CLARK C T,24,23,9,6,7,,,,,,16,85
PSYCH   1 Total,,353,325,244,95,173,,3,3,4,110,298,1608
PSYCH   2,OLSON GENE C,22,18,18,7,8,,,,,,41,114
"",RUSSELL R L,11,14,6,11,10,,,,,,12,64
"",SAGE R,2,6,6,11,27,,,,,,27,79
PSYCH   2 Total,,35,38,30,29,45,,,,,,80,257
PSYCH   3,CHIN D,42,19,8,1,6,,1,,,,8,85
PSYCH   3 Total,,42,19,8,1,6,,1,,,,8,85
PSYCH   5,DE LOACH C D,11,10,12,,3,,,,,,4,40
"",GUNN K S,11,10,1,,5,,,,,,8,35
PSYCH   5 Total,,22,20,13,,8,,,,,,12,75
PSYCH   6,GUILD L A,17,15,3,1,,,,,1,,9,46
PSYCH   7,HALD L A,47,12,4,,,,1,,,,12,76
"",SMITH-CLARK C T,10,7,3,3,1,,1,,,,11,36
PSYCH   7 Total,,57,19,7,3,1,,2,,,,23,112
PSYCH   8,DE LOACH C D,8,4,3,1,7,,,,,,7,30
PSYCH   8 Total,,8,4,3,1,7,,,,,,7,30
PSYCH  11,CUE E N,14,18,7,4,8,,,,,,20,71
"",ELAM E J,9,6,6,1,4,,,,,,1,27
"",GRACE Y H,14,6,5,,2,,,,,,5,32
"",HUFF G F,23,6,3,2,4,,,,,,6,44
"",MATHESON C C,26,11,11,,4,,,,,,7,59
"",MILLER CA L,10,7,4,1,3,,,,,,8,33
"",SCHWARTZ A F,20,23,17,5,4,,,,,,17,86
PSYCH  11 Total,,116,77,53,13,29,,,,,,64,352
PSYCH  13,CHOPP R M,52,15,10,4,9,,,,,,5,95
PSYCH  13 Total,,52,15,10,4,9,,,,,,5,95
PSYCH  14,LOEB T B,27,11,2,1,3,,,,,,3,47
"",O'LEARY B A,26,17,7,,3,,,,,,16,69
PSYCH  14 Total,,53,28,9,1,6,,,,,,19,116
PSYCH  19,DAVISON L L,70,25,18,,,,,,,,9,122
"",DRUKER S L,22,13,9,3,5,,,,,,11,63
"",WOODARD N L,19,15,13,6,6,,,,,,13,72
PSYCH  19 Total,,111,53,40,9,11,,,,,,33,257
PSYCH  25,ANDERSON ST M,10,17,7,4,5,,,,,,7,50
"",DE VILLERS L C,4,6,2,2,3,,,,,,1,18
PSYCH  25 Total,,14,23,9,6,8,,,,,,8,68
PSYCH  320,HALD L A,16,4,,,,,,,,,,20
PSYCH  320 Total,,16,4,,,,,,,,,,20
PSYCH  40,SCHWARTZ A F,4,2,1,1,4,,,,,,6,18
PSYCH  40 Total,,4,2,1,1,4,,,,,,6,18
"",,911,650,431,164,308,,6,3,5,110,576,3164
TH ART  2,ADAIR-LYNCH T A,29,2,,,2,,,,,,3,36
"",ANDERSON C B,18,7,4,2,9,,,,,,2,42
TH ART  2 Total,,47,9,4,2,11,,,,,,5,78
"",HARROP A M,26,6,1,,,,,,,,2,35
TH ART  5 Total,,75,18,8,5,7,,,,,,10,123
TH ART 10A,ROBBINS C R,21,12,4,,,,,,,,13,50
TH ART 10A Total,,21,12,4,,,,,,,,13,50
TH ART 10B,ROBBINS C R,11,3,1,,1,,,1,1,,1,19
TH ART 10B Total,,11,3,1,,1,,,1,1,,1,19
TH ART 15,SAWOSKI P,26,2,1,,,,,,,,3,32
TH ART 15 Total,,26,2,1,,,,,,,,3,32
TH ART 16,OCAMPO C,17,1,1,1,,,,,,,1,21
TH ART 16 Total,,17,1,1,1,,,,,,,1,21
TH ART 18A,ANZELC L L,10,,,,,,,,,,1,11
TH ART 18A Total,,10,,,,,,,,,,1,11
TH ART 18B,ANZELC L L,5,,2,,,,,,,,2,9
TH ART 18B Total,,5,,2,,,,,,,,2,9
TH ART 18C,ANZELC L L,7,,,,,,,,,,,7
TH ART 18C Total,,7,,,,,,,,,,,7
TH ART 20,ALLEN L A,16,6,4,2,2,,,,,,,30
TH ART 20 Total,,16,6,4,2,2,,,,,,,30
TH ART 21,ANZELC L L,3,,1,1,1,,,,,,4,10
TH ART 21 Total,,3,,1,1,1,,,,,,4,10
TH ART 22,ALLEN L A,19,5,1,1,1,,,,,,4,31
TH ART 22 Total,,19,5,1,1,1,,,,,,4,31
TH ART 23,ALLEN L A,9,4,1,1,1,,,,,,6,22
TH ART 23 Total,,9,4,1,1,1,,,,,,6,22
TH ART 25,FLOYD J M,10,2,4,2,3,,,,,,2,23
TH ART 25 Total,,10,2,4,2,3,,,,,,2,23
TH ART 26,HLUDZIK E A,4,4,,,3,,,,,,4,15
TH ART 26 Total,,4,4,,,3,,,,,,4,15
TH ART 28A,ADAIR-LYNCH T A,16,3,,,1,,,,,,2,22
TH ART 28A Total,,16,3,,,1,,,,,,2,22
TH ART 31,ALLEN L A,8,7,1,2,5,,,,,,2,25
TH ART 31 Total,,8,7,1,2,5,,,,,,2,25
TH ART 32,RIZZI T,2,2,1,,,,,,,,8,13
TH ART 41,ADAIR-LYNCH T A,28,3,2,2,2,,,,,,3,40
"",ESFANDYARI S,12,5,,1,,,,,,,6,24
"",HARROP A M,46,,,,1,,,,,,4,51
"",MATTSSON M F,22,1,7,,2,,,,,,3,35
"",SCHWARTZ D N,7,1,,,2,,,,,,6,16
TH ART 41 Total,,115,10,9,3,7,,,,,,22,166
TH ART 42,HARROP A M,20,1,,,,,,,,,3,24
"",SAWOSKI P,19,6,4,1,1,,,,,,5,36
TH ART 42 Total,,39,7,4,1,1,,,,,,8,60
TH ART 45,MARTIN A F,15,,,,,,,,,,3,18
TH ART 45 Total,,15,,,,,,,,,,3,18
TH ART 46,MATTSSON M F,12,4,1,,2,,,,1,,4,24
TH ART 46 Total,,12,4,1,,2,,,,1,,4,24
TH ART 50,HARROP A M,15,,,,,,,,,,,15
"",SAWOSKI P,13,,,,,,,,,,,13
TH ART 50 Total,,28,,,,,,,,,,,28
TH ART 51,HARROP A M,14,,,,,,,,,,1,15
"",SAWOSKI P,10,,,,,,,,,,,10
TH ART 51 Total,,24,,,,,,,,,,1,25
TH ART 55,ADAIR-LYNCH T A,14,,,,,,,,,,3,17
"","ADAIR-LYNCH T
A/MATTSSON M F",20,,,,,,,,,,1,21
TH ART 55 Total,,34,,,,,,,,,,4,38
TH ART 88A,SAWOSKI P,4,,,,,,,,,,1,5
TH ART 88A Total,,4,,,,,,,,,,1,5
TH ART 88B,SAWOSKI P,1,,,,,,,,,,,1
TH ART 88B Total,,1,,,,,,,,,,,1
"",,578,99,48,21,46,,,1,2,,111,906
"",,"####","####",9489,3682,7412,4,321,677,2335,165,"####","####"
